gs.tpl1.1,growthForm,vesselSize,vesselNumber
Triplochiton scleroxylon,NA,0.049087385,3
Milicia excelsa,T,0.035566363,3.5
Allophylus cobbe,T,0.028485606,3.5
Jacaranda copaia,T,0.032840246,3.8
Faidherbia albida,NA,0.012271846,4
Alstonia scholaris,T,0.016286016,4
Amburana cearensis,T,0.029864765,4
Archidendron lucyi,NA,0.012271846,4
Beilschmiedia emarginata,NA,0.015836769,4
Beilschmiedia rigida,NA,0.022431757,4
Bischofia javanica,T,0.017671459,4
Bocoa viridiflora,NA,0.013684778,4
Pachira quinata,T,0.053502108,4
Canarium schweinfurtii,NA,0.038013271,4
Caryocar glabrum,NA,0.017671459,4
Cordia salvadorensis,NA,0.031415927,4
Couratari guianensis,T,0.028352874,4
Couroupita guianensis,T,0.059395736,4
Cynometra inaequifolia,NA,0.028352874,4
Cynometra ramiflora,S_T,0.028352874,4
Dactylocladus stenostachys,NA,0.031415927,4
Dalbergia madagascariensis,NA,0.061575216,4
Dalbergia nigra,NA,0.024052819,4
Dalbergia retusa,T,0.031415927,4
Deplanchea tetraphylla,NA,0.013273229,4
Dicorynia guianensis,T,0.047143525,4
Engelhardtia spicata,NA,0.008659015,4
Entandrophragma angolense,NA,0.034636059,4
Entandrophragma candollei,T,0.022698007,4
Enterolobium contortisiliquum,T,0.031415927,4
Hura crepitans,T,0.022167078,4
Inga uraguensis,NA,0.013273229,4
Irvingia gabonensis,T,0.032365473,4
Irvingia malayana,NA,0.032365473,4
Lophira alata,T,0.049875925,4
Marcgravia coriacea,NA,0.060698712,4
Milicia regia,NA,0.027759113,4
Morus macroura,NA,0.03630503,4
Norantea goyasensis,NA,0.041547563,4
Marcgraviastrum mixtum,NA,0.021903969,4
Octomeles moluccana,NA,0.031415927,4
Okoubaka aubrevillei,NA,0.017671459,4
Pajanelia longifolia,NA,0.020106193,4
Peltophorum dubium,NA,0.020106193,4
Quercus glauca,T,0.012867964,4
Quercus lamellosa,NA,0.014957123,4
Stereospermum acuminatissimum,NA,0.008659015,4
Swartzia corrugata,NA,0.018385386,4
Swartzia fasciata,NA,0.014313882,4
Swartzia leptopetala,NA,0.013892908,4
Symphonia globulifera,T,0.035632729,4
Tabebuia insignis,T,0.014333516,4
Terminalia superba,T,0.046691921,4
Trichanthera gigantea,T,0.011309734,4
Virola albidiflora,NA,0.022698007,4
Virola surinamensis,T,0.022698007,4
Wallaceodendron celebicum,NA,0.044862728,4
Dalbergia latifolia,NA,0.012271846,4.5
Dialium platysepalum,NA,0.041626103,4.5
Ficus sycomorus,T,0.022432542,4.5
Acacia hebeclada,NA,0.008659015,5
Acacia polyacantha,T,0.02659044,5
Acacia robusta,T,0.015836769,5
Acacia sieberiana,T,0.018385386,5
Alangium rotundifolium,NA,0.013273229,5
Albizia chevalieri,NA,0.017671459,5
Albizia malacophylla,T,0.017671459,5
Alstonia angustiloba,NA,0.013478218,5
Alstonia boonei,T,0.018385386,5
Alstonia congensis,NA,0.013892908,5
Alstonia pneumatophora,NA,0.016286016,5
Archidendron aruense,NA,0.012271846,5
Beilschmiedia tarairi,T,0.008494867,5
Brosimum parinarioides,T,0.018869191,5
Brosimum rubescens,T,0.019487692,5
Brosimum utile,T,0.028809975,5
Calamus karnatakensis,NA,0.067425647,5
Calamus lacciferus,NA,0.070215381,5
Calamus stoloniferus,NA,0.023235219,5
Cedrela odorata,T,0.045238934,5
Couroupita nicaraguarensis,NA,0.043373614,5
Cryptocarya caloneura,NA,0.022698007,5
Dalbergia granadillo,NA,0.031415927,5
Dalbergia spruceana,NA,0.03630503,5
Dalbergia stevensonii,NA,0.038013271,5
Dalbergia tucurensis,NA,0.057255526,5
Dinizia excelsa,T,0.0254469,5
Duabanga grandiflora,NA,0.023778715,5
Duabanga moluccana,NA,0.046913403,5
Elaeocarpus dolichostylus,NA,0.018145839,5
Entandrophragma utile,NA,0.041547563,5
Erythrophleum ivorense,T,0.039760782,5
Eucalyptus delegatensis,S_T,0.017203361,5
Eucalyptus regnans,S_T,0.020106193,5
Euphorbia ingens,NA,0.004417865,5
Eusideroxylon zwageri,T,0.033666092,5
Fagraea gracilipes,NA,0.020358306,5
Faidherbia albida,NA,0.03630503,5
Guibourtia ehie,NA,0.015393804,5
Indopiptadenia oudhensis,NA,0.013273229,5
Mangifera indica,S_T,0.022698007,5
Maquira sclerophylla,T,0.020106193,5
Mesua ferrea,NA,0.017671459,5
Morus mesozygia,NA,0.024884555,5
Nauclea diderrichii,NA,0.028352874,5
Norantea diaz-piedrahitae,NA,0.043005262,5
Parkia biglobosa,NA,0.018385386,5
Albizia saman,T,0.025164943,5
Quercus semecarpifolia,T,0.023506182,5
Ricinodendron heudelotii,NA,0.059395736,5
Sapindus saponaria,T,0.039760782,5
Shorea laevis,NA,0.020106193,5
Shorea ovata,T,0.033979466,5
Simicratea welwitschii,NA,0.055154586,5
Stereospermum fimbriatum,NA,0.010751315,5
Streblus dimepate,NA,0.014957123,5
Streblus glaber,NA,0.023656716,5
Swartzia laevicarpa,NA,0.009160884,5
Swartzia lamellata,NA,0.019855651,5
Swartzia laurifolia,NA,0.007389811,5
Swartzia lucida,NA,0.005944679,5
Swartzia recurva,NA,0.012076282,5
Swartzia reticulata,NA,0.010386891,5
Swartzia schomburgkii,NA,0.01960668,5
Terminalia ivorensis,T,0.055154586,5
Tetraberlinia bifoliolata,T,0.031415927,5
Trophis philippinensis,NA,0.01911345,5
Alchornea scandens,C,0.020106193,5
Ziziphus thyrsiflora,NA,0.008659015,5
Calophyllum papuanum,NA,0.024331635,5.5
Detarium senegalense,T,0.040251656,5.5
Sarcopera tepuiensis,NA,0.039970876,5.5
Acacia burkei,NA,0.008992024,6
Acacia erioloba,T,0.015174678,6
Acacia melanoxylon,T,0.011976733,6
Acacia rehmanniana,NA,0.007088218,6
Acacia robynsiana,NA,0.00664761,6
Alstonia iwahigensis,NA,0.011499015,6
Bixa arborea,T,0.013273229,6
Broussonetia luzonica,NA,0.026880252,6
Calamus gamblei,NA,0.067886676,6
Calamus vattayila,NA,0.045238934,6
Cassia sieberiana,NA,0.024884555,6
Castanopsis inermis,NA,0.022698007,6
Copaifera officinalis,NA,0.013069811,6
Cordia elaeagnoides,T,0.035588354,6
Eucalyptus obliqua,T,0.018626503,6
Gmelina arborea,NA,0.026880252,6
Hieronyma alchorneoides,T,0.041547563,6
Loeseneriella apiculata,NA,0.082957681,6
Maclura tricuspidata,T,0.014313882,6
Prosopis africana,T,0.0254469,6
Prunus polystachya,NA,0.024052819,6
Pterocarpus officinalis,T,0.0254469,6
Rhus taitensis,NA,0.009852035,6
Shorea leprosula,NA,0.047143525,6
Spondias mombin,T,0.022698007,6
Stereospermum arcuatum,NA,0.013273229,6
Swartzia argentea,NA,0.010751315,6
Swartzia brachyrachis,NA,0.009743453,6
Swartzia euxylophora,NA,0.016741547,6
Swartzia polyphylla,T,0.020611989,6
Tabebuia aurea,NA,0.007389811,6
Xanthophyllum rufum,NA,0.020106193,6
Ziziphus talanae,NA,0.026880252,6
Tetramerista glabra,NA,0.023655407,6.3
Cordia trichotoma,NA,0.009905834,6.5
Simarouba amara,T,0.031415927,6.5
Souroubea guianensis,NA,0.040687552,6.5
Calophyllum pauciflorum,NA,0.014526724,6.9
Acacia grandicornuta,NA,0.006503882,7
Acacia nigrescens,T,0.008659015,7
Acacia tortilis,S_T,0.009247671,7
Actinidia strigosa,NA,0.025730429,7
Alstonia spatulata,NA,0.008824734,7
Brosimum acutifolium,T,0.020106193,7
Broussonetia papyrifera,T,0.022715286,7
Bruinsmia styracoides,NA,0.01960668,7
Calophyllum brasiliense,T,0.024052819,7
Castanospermum australe,T,0.0254469,7
Cordia glabrata,NA,0.009503318,7
Cordia latiloba,NA,0.009503318,7
Cratoxylum arborescens,NA,0.031415927,7
Dalbergia melanoxylon,NA,0.013273229,7
Distemonanthus benthamianus,T,0.0254469,7
Dyera costulata,NA,0.015393804,7
Eucalyptus deglupta,NA,0.045238934,7
Eucalyptus diversicolor,S_T,0.021382465,7
Microlobius foetidus,NA,0.007853982,7
Mammea africana,T,0.032365473,7
Microberlinia brazzavillensis,NA,0.033006358,7
Moringa peregrina,NA,0.024052819,7
Sextonia rubra,T,0.020106193,7
Pera glabrata,T,0.017671459,7
Quercus lanata,NA,0.010028749,7
Quercus oblongata,S_T,0.012867964,7
Quercus oxyodon,NA,0.010935884,7
Ruyschia tremadena,S,0.03079075,7
Stereospermum neuranthum,NA,0.015614501,7
Stereospermum tetragonum,NA,0.011122023,7
Strychnos diaboli,NA,0.038013271,7
Swartzia dipetala,NA,0.008992024,7
Swartzia grandifolia,NA,0.006361725,7
Roseodendron donnell-smithii,NA,0.009676891,7
Xylia xylocarpa,NA,0.030171856,7
Ziziphus zonulatus,NA,0.018869191,7
Acacia gerrardii,T,0.011574413,7.5
Xanthophyllum obscurum,NA,0.047143525,7.5
Acacia mangium,S_T,0.016933724,7.7
Acacia erubescens,NA,0.008824734,8
Acacia galpinii,NA,0.012076282,8
Acacia karroo,T,0.020867244,8
Acacia montis-usti,NA,0.005410608,8
Acacia tortilis,NA,0.011309734,8
Alangium kurzii,NA,0.010568318,8
Alstonia actinophylla,NA,0.008824734,8
Amanoa bracteosa,NA,0.013069811,8
Amanoa caribaea,NA,0.014313882,8
Amanoa congesta,T,0.008659015,8
Amanoa guianensis,T,0.010568318,8
Amanoa nanayensis,NA,0.009160884,8
Amanoa oblongifolia,S_T,0.008659015,8
Amanoa sinuosa,NA,0.009676891,8
Amesiodendron chinense,T,0.006939778,8
Aphananthe aspera,S,0.015393804,8
Beilschmiedia brasiliensis,NA,0.012667687,8
Breonia chinensis,NA,0.014313882,8
Broussonetia greveana,NA,0.026880252,8
Callichlamys latifolia,C,0.018869191,8
Cantleya corniculata,NA,0.015393804,8
Catalpa longissima,NA,0.005944679,8
Chrysophyllum beguei,NA,0.012271846,8
Clarisia racemosa,T,0.021382465,8
Copaifera langsdorffii,NA,0.012271846,8
Cordia alba,NA,0.015393804,8
Cuervea kappleriana,NA,0.028352874,8
Dalbergia congestiflora,NA,0.01911345,8
Dipteryx odorata,T,0.024052819,8
Eucalyptus consideniana,NA,0.015393804,8
Euphorbia tirucalli,H,0.001256637,8
Aphananthe cuspidata,NA,0.015393804,8
Hippocratea myriantha,NA,0.024052819,8
Hippocratea vignei,NA,0.024052819,8
Hippocratea volubilis,C,0.024052819,8
Lithocarpus elegans,NA,0.015393804,8
Maclura pomifera,NA,0.017671459,8
Maclura tinctoria,T,0.019379307,8
Magnolia drymifolia,NA,0.009852035,8
Marquesia macroura,NA,0.008992024,8
Mendoncia gigas,NA,0.031415927,8
Morus insignis,NA,0.012271846,8
Schwartzia adamantium,NA,0.012076282,8
Platymiscium pinnatum,T,0.011309734,8
Quercus ithaburensis,NA,0.012271846,8
Sapindus rarak,NA,0.006361725,8
Spathodea campanulata,S_T,0.010815325,8
Radermachera xylocarpa,NA,0.004185387,8
Streblus urophyllus,NA,0.006082123,8
Strychnos parviflora,NA,0.031415927,8
Strychnos peckii,NA,0.031415927,8
Swartzia racemosa,T,0.005541769,8
Swartzia sericea,NA,0.010207035,8
Trema tomentosa,T,0.014313882,8
Trophis mexicana,T,0.016512996,8
Uncarina leandrii,NA,0.011309734,8
Upuna boreensis,NA,0.028352874,8
Ziziphus guatemalensis,NA,0.007853982,8
Ziziphus nummularia,NA,0.015393804,8
Carapa guianensis,T,0.020862139,8.3
Acacia senegal,T,0.006729684,8.5
Brosimum guianense,T,0.00867865,8.5
Dysoxylum spectabile,NA,0.003216991,8.5
Kigelia africana,NA,0.006519197,8.5
Handroanthus serratifolius,T,0.004964109,8.5
Acacia reficiens,NA,0.013684778,9
Alangium grisolleoides,NA,0.00490167,9
Balanites aegyptiaca,NA,0.009120436,9
Bocconia frutescens,T,0.013069811,9
Bocconia vulcanica,NA,0.018662631,9
Broussonetia kaempferi,NA,0.01960668,9
Cabralea canjerana,T,0.031415927,9
Detarium microcarpum,T,0.031415927,9
Dialium guineense,T,0.014313882,9
Diospyros amboinensis,NA,0.007238229,9
Eucalyptus baxteri,T,0.014313882,9
Eucalyptus sieberi,T,0.015393804,9
Euphorbia balsamifera,NA,0.002375829,9
Euphorbia cotinifolia,NA,0.003848451,9
Euphorbia poissonii,NA,0.001963495,9
Ficus carica,NA,0.010386891,9
Aphananthe cuspidata,NA,0.013273229,9
Goupia glabra,T,0.020862139,9
Grevillea robusta,T,0.015393804,9
Helicostylis tovarensis,NA,0.016512996,9
Lovoa trichilioides,NA,0.014313882,9
Marcgravia purpurea,NA,0.0254469,9
Prunus javanica,NA,0.012271846,9
Prunus topengii,NA,0.009852035,9
Semialarium mexicanum,NA,0.011309734,9
Simirestis tisserantii,NA,0.017671459,9
Swartzia cardiosperma,T,0.006082123,9
Swartzia multijuga,NA,0.002733971,9
Swartzia oblanceolata,NA,0.009160884,9
Swartzia pendula,NA,0.002642079,9
Tamarindus indica,T,0.010386891,9
Trophis aspera,NA,0.007853982,9
Xanthophyllum suberosum,NA,0.053092916,9
Norantea guianensis,C,0.017044711,9.3
Lonchocarpus negrensis,C,0.096211275,9.5
Marcgravia pedunculosa,NA,0.016423723,9.7
Acacia stuhlmannii,NA,0.005674502,10
Alangium uniloculare,NA,0.010386891,10
Alchornea triplinervia,T,0.023506182,10
Antiaris toxicaria,T,0.02958752,10
Aucoumea klaineana,NA,0.020106193,10
Billia rosea,NA,0.007853982,10
Billia hippocastanum,T,0.007853982,10
Bravaisia tubiflora,NA,0.011309734,10
Cordia trichotoma,NA,0.00664761,10
Duckeodendron cestroides,NA,0.027464588,10
Eucalyptus globoidea,T,0.013273229,10
Eucalyptus muelleriana,S_T,0.013273229,10
Euphorbia alluaudii,NA,0.004417865,10
Eurycorymbus cavaleriei,NA,0.007088218,10
Gironniera subaequalis,T,0.012468981,10
Lepisanthes rubiginosa,NA,0.005026548,10
Lepisanthes senegalensis,NA,0.005026548,10
Markhamia obtusifolia,T,0.011309734,10
Nectandra megapotamica,T,0.012271846,10
Nephelium lappaceum,NA,0.013069811,10
Payena acuminata,NA,0.016512996,10
Perebea guianensis,T,0.012867964,10
Placospermum coriaceum,NA,0.010386891,10
Prionostemma aspera,C,0.024052819,10
Prunus arborea,NA,0.024052819,10
Prunus schlechteri,NA,0.020106193,10
Strychnos erichsonii,C,0.034636059,10
Strychnos rondeletioides,NA,0.034636059,10
Swartzia conferta,NA,0.004185387,10
Swartzia langsdorffii,NA,0.012076282,10
Swietenia macrophylla,T,0.020106193,10
Tecomella undulata,NA,0.005026548,10
Tectona grandis,T,0.020106193,10
Turraeanthus africana,NA,0.016060607,10
Xanthophyllum amoenum,NA,0.057255526,10
Ziziphus jujuba,NA,0.012271846,10
Ziziphus xylopyrus,NA,0.009503318,10
Juglans regia,S_T,0.017018596,10.1
Dolichandrone spathacea,NA,0.005273556,10.5
Tapirira guianensis,T,0.014241887,10.5
Acacia xanthophloea,NA,0.010386891,11
Beilschmiedia taubertiana,NA,0.010568318,11
Beilschmiedia tawa,T,0.005674502,11
Bocconia integrifolia,NA,0.013684778,11
Brosimum costaricanum,NA,0.011309734,11
Brosimum glaziovii,NA,0.004417865,11
Calamus hookerianus,NA,0.047143525,11
Calamus metzianus,NA,0.061575216,11
Carapa grandiflora,T,0.024052819,11
Carapa procera,T,0.024052819,11
Carica pentagona,NA,0.006503882,11
Casuarina equisetifolia,S_T,0.010207035,11
Chlorocardium rodiei,T,0.013273229,11
Doerpfeldia cubensis,NA,0.004071504,11
Drypetes gossweileri,T,0.010386891,11
Elachyptera floribunda,NA,0.021382465,11
Elachyptera parvifolia,NA,0.021382465,11
Gossweilerodendron balsamiferum,T,0.013273229,11
Huertea glandulosa,T,0.008332289,11
Jacaranda caroba,NA,0.006082123,11
Jacaranda hesperia,NA,0.013684778,11
Manilkara bidentata,T,0.009852035,11
Marcgravia brownei,NA,0.022998422,11
Radermachera sinica,T,0.002733971,11
Streblus asper,NA,0.008659015,11
Streblus elongatus,NA,0.010935884,11
Styrax fanshawei,NA,0.007853982,11
Styrax warscewiczii,NA,0.004656626,11
Swartzia latifolia,NA,0.009160884,11
Tamarix aphylla,NA,0.018385386,11
Terminalia amazonia,T,0.014957123,11
Tieghemella africana,NA,0.013273229,11
Xanthophyllum griffithii,NA,0.031415927,11
Ziziphus cyclocardia,NA,0.008659015,11
Ziziphus grewioides,NA,0.012271846,11
Acacia davyi,NA,0.008332289,12
Acacia hereroensis,NA,0.003959192,12
Alangium ridleyi,NA,0.014526724,12
Brosimum lactescens,T,0.010935884,12
Calamus brandisii,NA,0.032047387,12
Catalpa speciosa,T,0.006939778,12
Elaeocarpus tectorius,NA,0.015836769,12
Eucalyptus globulus,S_T,0.022698007,12
Fagraea fragrans,T,0.017671459,12
Gymnanthes borneensis,NA,0.010386891,12
Maclura africana,NA,0.016512996,12
Newbouldia laevis,T,0.00319068,12
Paulownia tomentosa,S_T,0.033438327,12
Prunus grisea,NA,0.012271846,12
Radermachera gigantea,NA,0.009110619,12
Schefflera morototoni,T,0.008230973,12
Souroubea sympetala,C,0.027332641,12
Streblus banksii,NA,0.00490167,12
Strychnos mitscherlichii,C,0.019360065,12
Styrax pavonii,NA,0.009676891,12
Swartzia acutifolia,NA,0.004185387,12
Symplocos odoratissima,NA,0.010751315,12
Symplocos racemosa,NA,0.007088218,12
Trema orientalis,T,0.014102609,12
Xanthophyllum virens,NA,0.038013271,12
Ziziphus angolito,NA,0.005674502,12
Alangium chinense,NA,0.01511237,12.5
Acacia ataxacantha,S,0.013069811,13
Alangium nobile,NA,0.012076282,13
Alstonia rostrata,NA,0.004656626,13
Anthodon decussatum,C,0.0254469,13
Autranella congolensis,NA,0.012271846,13
Baillonella toxisperma,T,0.013273229,13
Bastardiopsis densiflora,NA,0.009503318,13
Berchemiella berchemiifolia,NA,0.023506182,13
Cynometra vogelii,NA,0.009503318,13
Dalbergia funera,NA,0.009503318,13
Dichrostachys cinerea,S_T,0.015393804,13
Diospyros virginiana,T,0.01183006,13
Entandrophragma cylindricum,NA,0.015393804,13
Guazuma ulmifolia,T,0.013273229,13
Harpullia cupanioides,T,0.006939778,13
Ilex hypoglauca,NA,0.005026548,13
Ilex ledermannii,NA,0.009277123,13
Ilex sclerophylloides,NA,0.010028749,13
Keetia gueinzii,NA,0.010935884,13
Licaria canella,T,0.012016592,13
Licaria guianensis,T,0.009503318,13
Maclura cochinchinensis,C,0.0254469,13
Maquira calophylla,T,0.012271846,13
Marcgravia brachysepala,NA,0.024328494,13
Prunus latifolia,NA,0.010386891,13
Strychnos guianensis,NA,0.022698007,13
Strychnos jobertiana,C,0.022698007,13
Strychnos jobertiana,NA,0.022698007,13
Styrax hypochryseus,NA,0.009160884,13
Swartzia cuspidata,NA,0.005541769,13
Swartzia krukovii,NA,0.008494867,13
Xanthophyllum philippinense,NA,0.045238934,13
Colubrina elliptica,NA,0.014313882,13
Litsea calicaris,NA,0.00453646,13.5
Acacia luederitzii,NA,0.007542964,14
Acacia mellifera,T,0.007697687,14
Acacia swazica,NA,0.007088218,14
Alangium longiflorum,NA,0.003318307,14
Alangium premnifolium,NA,0.005944679,14
Brassaiopsis aculeata,NA,0.006361725,14
Broussonetia kazinoki,NA,0.006361725,14
Calamus rotang,NA,0.038013271,14
Cordia alliodora,T,0.012778166,14
Cryptocarya minutifolia,NA,0.006361725,14
Dimocarpus longan,S_T,0.007542964,14
Erythroxylum hypericifolium,NA,0.010568318,14
Fagraea salticola,NA,0.005410608,14
Hylenaea comosa,NA,0.017671459,14
Hylenaea praecelsa,C,0.017671459,14
Ilex cissoidea,NA,0.00664761,14
Jacaranda obtusifolia,NA,0.002827433,14
Litchi chinensis,S_T,0.009676891,14
Magnolia splendens,T,0.008659015,14
Markhamia tomentosa,NA,0.011122023,14
Magnolia lanuginosa,NA,0.009331316,14
Nectandra lanceolata,NA,0.007088218,14
Schwartzia costaricensis,NA,0.007542964,14
Prunus annularis,T,0.007853982,14
Spathodea serratula,NA,0.008332289,14
Streblus microphylla,T,0.004185387,14
Strychnos nigricans,NA,0.020106193,14
Swartzia aptera,NA,0.005152997,14
Swartzia arborescens,T,0.003959192,14
Symplocos pendula,NA,0.008824734,14
Handroanthus serratifolius,NA,0.008171282,14
Trema politoria,NA,0.013273229,14
Ziziphus rugosa,NA,0.016512996,14
Jacaranda caucana,NA,0.004912207,14.3
Jacaranda obtusifolia,T,0.005751078,14.3
Brosimum alicastrum,T,0.00638136,14.5
Swartzia flaemingii,NA,0.007178932,14.5
Acacia borleae,NA,0.004071504,15
Acacia nebrownii,NA,0.002642079,15
Acacia schweinfurthii,NA,0.003631681,15
Alangium havilandii,NA,0.007389811,15
Alangium javanicum,NA,0.010386891,15
Apodostigma pallens,NA,0.021382465,15
Aspidosperma quebracho-blanco,T,0.020106193,15
Astronium urundeuva,NA,0.009503318,15
Calamus lakshmanae,NA,0.03268513,15
Calamus pseudotenuis,NA,0.031415927,15
Ceratonia siliqua,S,0.006361725,15
Chukrasia tabularis,NA,0.016512996,15
Citharexylum myrianthum,NA,0.020358306,15
Cneorum pulverulentum,NA,0.004417865,15
Cordia sinensis,NA,0.009503318,15
Eucalyptus macrorhyncha,S_T,0.008659015,15
Euphorbia candelabrum,NA,0.001590431,15
Fraxinus angustifolia,T,0.015393804,15
Gagnebina pterocarpa,NA,0.002922467,15
Guibourtia arnoldiana,NA,0.009503318,15
Ilex godajam,NA,0.006361725,15
Jacaranda poitaei,NA,0.005541769,15
Juglans australis,NA,0.034636059,15
Licaria subbullata,NA,0.007107853,15
Luehea divaricata,NA,0.006361725,15
Mastixia octandra,NA,0.006221139,15
Mischocarpus pentapetalus,NA,0.005541769,15
Mischocarpus sundaicus,NA,0.005541769,15
Morus rubra,T,0.016512996,15
Naucleopsis ulei,T,0.017671459,15
Prunus ceylanica,NA,0.017671459,15
Cerasus parvifolia,NA,0.013273229,15
Quercus coccifera,S,0.004778362,15
Ricinus communis,NA,0.005674502,15
Streblus indicus,NA,0.009503318,15
Styrax paralleloneurus,NA,0.007542964,15
Bobgunnia fistuloides,NA,0.016512996,15
Tabebuia rosea,T,0.011150298,15
Handroanthus chrysanthus,NA,0.004778362,15
Trema angustifolia,NA,0.013273229,15
Amphilophium dusenianum,NA,0.013684778,15
Xanthophyllum heteropleurum,NA,0.051070516,15
Ziziphus divaricata,NA,0.007088218,15
Ziziphus spina-christi,T,0.011388273,15
Pararistolochia triactina,NA,0.019807742,15.5
Corynocarpus laevigatus,NA,0.003971759,15.5
Pentamerista neotropica,NA,0.00731402,15.5
Jacaranda caerulea,NA,0.006157521,15.55634919
Acacia exuvialis,NA,0.001134115,16
Acacia nilotica,S_T,0.005541769,16
Alectryon excelsus,T,0.003631681,16
Broussonetia kurzii,NA,0.011309734,16
Campsis grandiflora,NA,0.011689866,16
Cordia sonorae,NA,0.008040121,16
Crossandra poissonii,NA,0.005674502,16
Euphorbia atropurpurea,NA,0.000855299,16
Ficalhoa laurifolia,T,0.017671459,16
Garnieria spathulifolia,S_T,0.00490167,16
Gordonia excelsa,NA,0.007697687,16
Ilex myricoides,NA,0.002922467,16
Ilex petiolaris,NA,0.005026548,16
Lecointea amazonica,T,0.00664761,16
Markhamia stipulata,NA,0.010618583,16
Pericopsis elata,NA,0.009503318,16
Pteleocarpa lamponga,NA,0.008659015,16
Schefflera euryphylla,NA,0.003848451,16
Schefflera volkensii,T,0.009503318,16
Schuurmansia henningsii,S,0.008011847,16
Strychnos toxifera,C,0.020106193,16
Swartzia myrtifolia,T,0.004432525,16
Handroanthus capitatus,NA,0.008765436,16
Vitex lucens,T,0.005410608,16
Acacia permixta,NA,0.003525652,17
Brosimum gaudichaudii,NA,0.009503318,17
Erythroxylum ecarinatum,NA,0.014102609,17
Fernandoa adenophylla,NA,0.008171282,17
Hagenia abyssinica,T,0.012867964,17
Mesogyne insignis,NA,0.007088218,17
Nyssa javanica,NA,0.006792909,17
Prunus javanica,NA,0.012271846,17
Prunus pullei,S,0.004417865,17
Pseudolmedia laevigata,T,0.010935884,17
Schefflera yurumanguinis,NA,0.00453646,17
Strychnos castelnaeana,NA,0.011309734,17
Strychnos cogens,NA,0.016650441,17
Ziziphus sonorensis,NA,0.005026548,17
Zollernia paraensis,NA,0.006939778,17
Jacaranda brasiliana,NA,0.005089576,17.5
Parapiptadenia rigida,NA,0.014405511,17.8
Allophylus cobbe,NA,0.007697687,18
Amphitecna latifolia,NA,0.006361725,18
Aralidium pinnatifidum,NA,0.006221139,18
Diplycosia heterophylla,NA,0.025164943,18
Drymonia serrulata,NA,0.017671459,18
Ephedranthus guianensis,NA,0.004417865,18
Guibourtia copallifera,NA,0.005026548,18
Ilex laurina,NA,0.005026548,18
Magnolia champaca,NA,0.008011847,18
Magnolia lacei,NA,0.009503318,18
Morus alba,S_T,0.02249616,18
Parapiptadenia excelsa,NA,0.008060149,18
